,bh_cagrs,bh_lens,sma_cagrs,sma_lens,sma_num_trades 
107,-1.0705694913139996,1871,4.5019256437564215,648,6
108,9.014059208950265,1083,15.719959021007934,202,2
109,8.277426220472272,8834,5.782409949657619,11061,54
110,14.945102250769482,1740,4.798848685240786,1995,16
111,3.442764876409554,3080,7.992971824552919,1146,6
112,6.434029873342917,517,13.652226577844417,1114,4
113,3.6270952563814074,1199,9.11000726465181,314,4
114,-2.8193939215759856,401,14.68465641852883,1112,6
115,9.2402132191161,1544,14.484620604378208,1539,4
116,30.95712900694889,636,20.572537065736253,539,6
117,1.0472337850061741,1115,-2.0483403187297577,1001,10
118,47.82482474885812,306,5.8919696043707726,2071,10
119,-6.222441205296425,389,0.825605521296291,506,4
120,7.579413493686893,862,13.724769074942644,3578,22
121,4.78402126809947,391,4.532707216985488,649,6
122,6.178382643393432,708,4.350174632239678,5499,28
